Id,Time,RPM_SET_POINT,PowerCenter_RPM,HP_ACC_Press_PT18_Bar,Desalination_Press_PT20_Bar,Brine_Out_Press_PT13_Bar,LP_ACC_Press_PT17_Bar,BMS_CURRENT_A,CT_Current_Controller_A,Roboteq_Current_A,Roboteq_Voltage_V,BMS_Voltage,BMS_SOC_percent,VHP_Manifold_Pressure_PT21,VertDisZLA1,VertDisZLA2,VertDisZLA3,theta1,theta2,theta3,LP_Cartridge_Filter_FM01_m3h,FW_OUT_FM02_m3h,BRINE_OUT_FM03_m3h,PowerCenter_Out_FM04_m3h,PowerCenter_In_FM05_m3h,FW_TK_PT14_bar,Booster_Suction_PT15_bar,Booster_Discharge_PT16_bar,PowerCenter_Out_PT19_bar,ROT1_deg,ROT2_deg,ROT3_deg,MRU_Surge_m,MRU_Sway_m,MRU_Heave_m,MRU_Yaw_deg2,MRU_Pitch_deg,MRU_Roll_deg
24,19/04/2024 7:47:34,0,,0.0625,0,1.00125,6.09625,0,-1.724976,,,0,0,5.125,83.10778,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0,84.88126,70.20563,76.88813,-0.5961559,0.04672924,-0.05961826,40.76416,-88.45636,154.4788
25,19/04/2024 7:47:35,0,,0,0,1.00125,6.09625,0,3.450043,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02539484,0.02128162,0,0,0.00495,0.0075,-0.0165,-20.47875,1.021875,1.090625,0.03125,84.88126,70.27312,76.88813,-0.6701034,0.09001108,-0.08616173,39.96345,-87.9566,155.1229
26,19/04/2024 7:47:37,0,,0,0,1.00875,6.08875,0,1.087524,,,0,0,5.09375,79.98159,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.94875,70.27312,76.88813,-0.684232,0.09027843,-0.002813582,41.63126,-87.48378,153.2617
27,19/04/2024 7:47:38,0,,0.0625,0,1.00875,6.08875,0,1.087524,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0.03125,84.94875,70.27312,76.88813,-0.6590858,0.07298686,0.03571757,41.67225,-87.15178,153.1031
28,19/04/2024 7:47:40,0,,0,0,1.00875,6.08875,0,2.962524,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02128162,0,0.0044,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0,84.88126,70.27312,76.88813,-0.6000988,0.07562282,-0.02398551,40.08833,-87.14088,154.6069
29,19/04/2024 7:47:41,0,,0,0,1.00875,6.09625,0,-0.7874756,,,0,0,5.125,83.10778,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0.0044,0.00495,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.88126,70.27312,76.815,-0.566999,0.1046992,-0.09419698,36.55832,-87.32819,158.0978
30,19/04/2024 7:47:43,0,,0,0,1.00875,6.08875,0,0.6000061,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.88126,70.20563,76.88813,-0.5591975,0.1372797,-0.105407,31.24149,-87.54192,163.3969
31,19/04/2024 7:47:44,0,,0.0625,0,1.00125,6.080625,0,4.837524,,,0,0,5.09375,79.98159,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0.00495,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.94875,70.27312,76.88813,-0.5632997,0.1668972,-0.05180936,24.37249,-87.73804,170.2522
32,19/04/2024 7:47:46,0,,0,0,1.00875,6.08875,0,-1.724976,,,0,0,5.125,79.98159,0,26.07731,0.005308042,-0.02539484,0.02066137,0,0,0.00495,0.0075,-0.0165,-20.47875,1.021875,1.090625,0.03125,84.88126,70.27312,76.88813,-0.5581154,0.1667831,0.003182133,17.52323,-87.81177,176.9251
33,19/04/2024 7:47:47,0,,0.0625,0,1.00875,6.080625,0,0.6000061,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02658966,0.02128162,0,0.0044,0.00495,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.88126,70.27312,76.88813,-0.4943301,0.1208449,0.0590245,16.05368,-88.05175,178.4571
34,19/04/2024 7:47:49,0,,0,0,1.00875,6.08875,0,-0.3374939,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02539484,0.02066137,0,0.0044,0,0.0075,-0.0165,-20.47875,1.03,1.090625,0.03125,84.88126,70.27312,76.88813,-0.4471217,0.03398473,0.02426612,22.46204,-88.07189,172.4292
35,19/04/2024 7:47:50,0,,0.0625,0,1.00125,6.08875,0,2.512543,,,0,0,5.125,79.98159,0,26.07731,0.004733468,-0.02658966,0.02128162,0,0.0044,0,0.0075,-0.0165,-20.47875,1.021875,1.090625,0,84.94875,70.27312,76.88813,-0.4243272,0.0001773667,-0.07150531,30.26756,-87.94215,164.3242
36,19/04/2024 7:47:52,0,,0.0625,0,1.00125,6.080625,0,1.087524,,,0,0,5.09375,79.98159,0,26.07731,0.005308042,-0.02658966,0.02066137,0,0.0044,0.00495,0.0075,-0.0165,-20.47875,1.021875,1.0825,0.03125,84.88126,70.20563,76.88813,-0.4377564,0.06064736,-0.09566337,31.85932,-87.62216,162.4288
