Id,Time,RPM_SET_POINT,PowerCenter_RPM,HP_ACC_Press_PT18_Bar,Desalination_Press_PT20_Bar,Brine_Out_Press_PT13_Bar,LP_ACC_Press_PT17_Bar,BMS_CURRENT_A,CT_Current_Controller_A,Roboteq_Current_A,Roboteq_Voltage_V,BMS_Voltage,BMS_SOC_percent,VHP_Manifold_Pressure_PT21,VertDisZLA1,VertDisZLA2,VertDisZLA3,theta1,theta2,theta3,LP_Cartridge_Filter_FM01_m3h,FW_OUT_FM02_m3h,BRINE_OUT_FM03_m3h,PowerCenter_Out_FM04_m3h,PowerCenter_In_FM05_m3h,FW_TK_PT14_bar,Booster_Suction_PT15_bar,Booster_Discharge_PT16_bar,PowerCenter_Out_PT19_bar,ROT1_deg,ROT2_deg,ROT3_deg,MRU_Surge_m,MRU_Sway_m,MRU_Heave_m,MRU_Yaw_deg2,MRU_Pitch_deg,MRU_Roll_deg
1840,18/04/2024 12:07:41,750.0,748.0,4.953125,53.64063,3.5275,6.16625,0.0,0.6750183,48.0,49.2,0.0,0.0,5.09375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.2925,0.80135,1.01475,2.187,2.214,-20.47875,1.00625,6.245625,55.0,84.94875,70.20563,76.88813,-0.007692401,-0.02096684,-0.01157716,340.2716,-87.75703,171.8666
1841,18/04/2024 12:07:42,750.0,748.0,5.34375,53.25,3.535625,6.6025,0.0,0.1875305,50.0,49.0,0.0,0.0,5.3125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.456563,0.80135,1.01475,2.187,2.214,-20.47875,0.81125,6.916875,55.57813,84.94875,70.20563,76.88813,-0.08101185,-0.01261602,-0.03513351,342.4595,-87.12358,169.1508
1842,18/04/2024 12:07:43,750.0,753.0,5.34375,53.25,3.535625,6.6025,0.0,0.1875305,50.1,49.0,0.0,0.0,5.3125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.456563,0.80135,1.01475,2.187,2.214,-20.47875,0.81125,6.916875,55.57813,84.94875,70.20563,76.88813,-0.08101185,-0.01261602,-0.03513351,342.4595,-87.12358,169.1508
1843,18/04/2024 12:07:44,750.0,753.0,4.953125,53.4375,3.535625,6.586875,0.0,2.100037,47.3,49.1,0.0,0.0,5.53125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.539687,0.80135,1.01475,2.187,2.214,-20.47875,0.865625,7.08125,55.0,84.94875,70.20563,76.88813,-0.1697006,0.06438366,-0.06911997,328.9786,-86.59431,-176.9012
1844,18/04/2024 12:07:45,750.0,748.0,4.953125,53.4375,3.535625,6.586875,0.0,2.100037,48.6,49.0,0.0,0.0,5.53125,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.539687,0.80135,1.01475,2.187,2.214,-20.47875,0.865625,7.08125,55.0,84.94875,70.20563,76.88813,-0.1697006,0.06438366,-0.06911997,328.9786,-86.59431,-176.9012
1845,18/04/2024 12:07:46,750.0,750.0,4.359375,53.4375,3.535625,6.080625,0.0,0.6750488,49.6,49.3,0.0,0.0,4.96875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.70375,0.80135,1.01475,2.187,2.214,-20.47875,1.00625,6.098125,54.40625,84.94875,70.20563,76.88813,-0.1311724,0.07461823,0.01202794,316.4836,-86.51886,-163.741
1846,18/04/2024 12:07:47,750.0,748.0,4.5625,54.03125,3.535625,6.283125,0.0,3.937531,47.5,49.0,0.0,0.0,5.1875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.70375,0.80135,1.00815,2.187,2.214,-20.47875,0.9675,6.37875,54.21875,84.94875,70.20563,76.88813,-0.02093638,-0.007478789,-0.0005150501,320.5998,-86.9032,-167.5853
1847,18/04/2024 12:07:48,750.0,750.0,4.5625,54.03125,3.535625,6.283125,0.0,3.937531,48.4,49.1,0.0,0.0,5.1875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.70375,0.80135,1.00815,2.187,2.214,-20.47875,0.9675,6.37875,54.21875,84.94875,70.20563,76.88813,-0.02093638,-0.007478789,-0.0005150501,320.5998,-86.9032,-167.5853
1848,18/04/2024 12:07:49,750.0,748.0,4.75,53.64063,3.535625,6.080625,0.0,3.487549,48.6,49.1,0.0,0.0,5.25,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.565938,0.80135,1.00815,2.187,2.214,-20.47875,1.053125,6.1675,54.40625,84.94875,70.20563,76.88813,0.04904424,-0.03506409,0.01849491,327.268,-87.32656,-175.375
1849,18/04/2024 12:07:50,750.0,748.0,4.75,53.64063,3.535625,6.080625,0.0,3.487549,49.2,49.2,0.0,0.0,5.25,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.565938,0.80135,1.00815,2.187,2.214,-20.47875,1.053125,6.1675,54.40625,84.94875,70.20563,76.88813,0.04904424,-0.03506409,0.01849491,327.268,-87.32656,-175.375
1850,18/04/2024 12:07:51,750.0,750.0,4.5625,53.25,3.535625,6.220625,0.0,1.612518,49.7,49.4,0.0,0.0,5.1875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.430312,0.80135,1.01475,2.187,2.2155,-20.47875,1.053125,6.41,54.40625,84.94875,70.20563,76.88813,-0.02553554,-0.02462502,0.02813182,334.4538,-87.0703,175.9771
1851,18/04/2024 12:07:52,750.0,748.0,4.359375,53.25,3.535625,5.4725,0.0,1.125031,49.0,49.1,0.0,0.0,4.71875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.620625,0.80135,1.01475,2.17725,2.214,-20.47875,0.764375,5.65375,55.57813,84.94875,70.20563,76.88813,-0.18091,0.04849695,-0.05659039,328.2667,-86.63649,-178.9384
1852,18/04/2024 12:07:53,750.0,753.0,4.359375,53.25,3.535625,5.4725,0.0,1.125031,49.9,49.2,0.0,0.0,4.71875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.620625,0.80135,1.01475,2.17725,2.214,-20.47875,0.764375,5.65375,55.57813,84.94875,70.20563,76.88813,-0.18091,0.04849695,-0.05659039,328.2667,-86.63649,-178.9384
1853,18/04/2024 12:07:54,750.0,748.0,4.953125,53.4375,3.535625,6.244375,0.0,2.550018,48.9,49.0,0.0,0.0,5.09375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.649062,0.80135,1.01475,2.17725,2.214,-20.47875,0.975,6.300625,55.39063,84.94875,70.20563,76.88813,-0.2401184,0.1013134,0.01898824,314.9819,-86.44172,-164.6055
1854,18/04/2024 12:07:55,750.0,750.0,4.359375,53.4375,3.535625,6.09625,0.0,3.000031,46.7,48.9,0.0,0.0,4.6875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.430312,0.80135,1.01475,2.17725,2.214,-20.47875,1.115625,5.154375,55.57813,84.94875,70.20563,76.88813,-0.1905083,0.0726767,-0.0151819,303.588,-86.47575,-152.2587
1855,18/04/2024 12:07:56,750.0,750.0,4.359375,53.4375,3.535625,6.09625,0.0,3.000031,48.9,49.2,0.0,0.0,4.6875,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.430312,0.80135,1.01475,2.17725,2.214,-20.47875,1.115625,5.154375,55.57813,84.94875,70.20563,76.88813,-0.1905083,0.0726767,-0.0151819,303.588,-86.47575,-152.2587
1856,18/04/2024 12:07:57,750.0,753.0,5.34375,53.64063,3.5275,6.579375,0.0,2.062531,46.3,49.1,0.0,0.0,5.25,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.2925,0.80135,1.01475,2.17725,2.214,-20.47875,0.81875,6.878125,55.57813,84.94875,70.20563,76.88813,-0.09348037,-0.01681793,-0.002672395,308.0968,-87.00838,-156.2503
1857,18/04/2024 12:07:58,750.0,750.0,4.359375,53.4375,3.535625,6.48625,0.0,-0.7124786,49.9,49.2,0.0,0.0,5.25,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.430312,0.80135,1.01475,2.187,2.214,-20.47875,0.87375,6.675,54.79688,84.94875,70.20563,76.88813,0.04595125,-0.06853515,0.1368528,320.8521,-87.79391,-168.9178
1858,18/04/2024 12:07:59,750.0,746.0,4.359375,53.4375,3.535625,6.48625,0.0,-0.7124786,49.1,49.1,0.0,0.0,5.25,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.430312,0.80135,1.01475,2.187,2.214,-20.47875,0.87375,6.675,54.79688,84.94875,70.20563,76.88813,0.04595125,-0.06853515,0.1368528,320.8521,-87.79391,-168.9178
1859,18/04/2024 12:08:00,750.0,748.0,4.359375,53.82813,3.535625,6.586875,0.0,3.037537,48.6,48.9,0.0,0.0,5.40625,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.539687,0.80135,1.00815,2.187,2.214,-20.47875,0.975,6.425625,55.0,84.94875,70.20563,76.88813,0.006862253,-0.06747051,0.003189346,339.0655,-87.36092,171.8324
1860,18/04/2024 12:08:01,750.0,746.0,4.359375,53.82813,3.535625,6.586875,0.0,3.037537,50.5,49.3,0.0,0.0,5.40625,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.539687,0.80135,1.00815,2.187,2.214,-20.47875,0.975,6.425625,55.0,84.94875,70.20563,76.88813,0.006862253,-0.06747051,0.003189346,339.0655,-87.36092,171.8324
1861,18/04/2024 12:08:02,750.0,748.0,4.359375,53.4375,3.535625,6.189375,0.0,0.2250366,50.6,49.1,0.0,0.0,5.0625,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.565938,0.80135,1.00815,2.187,2.214,-20.47875,0.9125,5.614375,55.39063,84.94875,70.20563,76.88813,-0.0871948,0.01393547,0.01459944,337.5149,-87.01475,173.0562
1862,18/04/2024 12:08:03,750.0,746.0,4.5625,53.82813,3.543125,5.57375,0.0,-0.2624512,50.3,49.3,0.0,0.0,4.84375,83.10778,0.0,26.07731,0.005308042,-0.02658966,0.02128162,2.320937,0.80135,1.01475,2.17725,2.214,-20.47875,0.81875,5.5675,55.1875,84.94875,70.20563,76.88813,-0.1823446,0.08360468,-0.05487961,324.4205,-86.77544,-173.1116
